,
Outlet name,Location
Infosys Limited - Building 47,Bengaluru
Infosys Limited - Equinox,Bengaluru
Infosys Limited - MNC,Bengaluru
Deutsche Bank,Bengaluru
HCL Limited,Bengaluru
Oracle Limited - Krishna Magnum,Bengaluru
Oracle Limited - Oracle Tech Park,Bengaluru
Oracle Limited - Oracle Tech Hub (A Block),Bengaluru
Oracle Limited - Oracle Tech Hub (Tower C),Bengaluru
British Telecom - Ecoworld,Bengaluru
British Telecom - Ecospace,Bengaluru
TATA Consultancy Services Limited - H Block,Bengaluru
TATA Consultancy Services Limited - Pioneer,Bengaluru
TATA Consultancy Services Limited - Bhuwalka,Bengaluru
Philips India Private Limited - Prana,Bengaluru
"Lowes Services India Private Limited, L2",Bengaluru
"LG Soft India Private Limited, Bellandur",Bengaluru
"Societe Generale Global Solution Private Limited, Bellandur",Bengaluru
"Societe Generale Global Solution Private Limited, ITPL",Bengaluru
"London Stock Exchange Group Private Limited, Bellandur",Bengaluru
Amazon Private Limited - Taurus 3,Bengaluru
Samsung R&D Institute India Limited - Phoenix,Bengaluru
Amazon Development Center (India) Private Limited - Building Aquila,Bengaluru
Amazon Development Center (India) Private Limited - Taurus 2,Bengaluru
American Express India Private Limited - Bagmane,Bengaluru
Cognizant Technology Solution India Private Limited - Manyata Tech Park ,Bengaluru
Cognizant Technology Solution India Private Limited - Bagmane - NEON ,Bengaluru
Thomson Reuters Private Limited ,Bengaluru
Microsoft Global Services Center (India) Private Limited - Frans,Bengaluru
Microsoft Global Services Center (India) Private Limited - Luxor,Bengaluru
Microsoft Global Services Center (India) Private Limited - Cosmo,Bengaluru
International Tech Park Limited - Ascendas Mall,Bengaluru
Mu Sigma Business Solutions Private Limited,Bengaluru
Tecnotree Private Limited,Bengaluru
IBM Limited,Mysore
Mall of Mysore,Mysore
Infosys Limited - GC2 Magna,Mysore
Infosys Limited - FC 5 Oasis,Mysore
Infosys Limited  - FC 7 Feista Ground Floor,Mysore
Infosys Limited  - FC 7 Feista ,Mysore
Microsoft Global Services Center (India) Private Limited - B4,Hyderabad
Microsoft Global Services Center (India) Private Limited - Phoenix,Hyderabad
Wells Fargo Private Limited,Hyderabad
"Infosys Limited , Pocharam",Hyderabad
"London Stock Exchange Group, RMZ",RMZ - old madras road
"American Express Banking Corp Limited, Koramangala",Bengaluru
Infosys Ltd - CPC,Bengaluru
Infosys Ltd - B8 food court,Bengaluru
Broadcom India Pvt Ltd,Bengaluru
Indian Institutes of Science Education and Research India- College,Pune  
Infosys Ltd - Pune Phase 2,Pune  
Miq Digital India Private Limited,Bengaluru
Infosys Ltd - North Gate,Bengaluru
Wells Fargo Private Limited BLR,Bengaluru
Infosys Ltd - Gachibowli,HYDERABAD
Kyndryl Solution Private Limited,Bengaluru
Lowes Services India Private Limited - D3,Bengaluru
Oracle Limited - Oracle Tech Hub B Block,Bengaluru
Nexus Mall - Mysore,Bengaluru
Tesco - BLR,Bengaluru
"Societe Generale Global Solution Private Limited, Building - Victor",Bengaluru
Wellsforgo - BLR - Petunia,Bengaluru
American Express India Private Limited - Luxor,Bengaluru
Infosys Ltd -  Crescent,Bengaluru
Gandinagar,Bengaluru
Infosys Ltd,Pune  
Smart Work,Bengaluru
TCS - Yashwanthpura,Bengaluru
PVR Forum Hyderali road ,Mysore
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
